Sample,Latitude,Longitude,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2,SO3,S,F ,Cl,LOI,Ba,Co,Cr,Cs,Li,Ni,Rb,Sr,V,Zr
d4,20.63333333,83.63333333,37.35,4.45,7.75,,35.89,0.58,3.63,4.57,1.18,0.44,1.48,,,,,,,95,,60,,,43,16,110,131,5100
83021,14.92,77.3,37.4,1.45,3.67,9.28,,0.14,28.97,7.1,,1.01,0.48,1.71,,,,0.0083,,1172.1,82.1,1295,3.9,8.7,1240.4,115.5,677.2,66,138
83021,14.9233,77.2967,37.4,1.45,3.67,9.28,,0.14,28.97,7.603912034,,1.01,0.48,1.71,,0.02,,0.0083,,1231.0715,82.53065,1287.5055,3.2624,8.7327,1225.1835,115.75815,701.3566239,70.9983,138.5054
b1,19.025,81.885,37.42,1.89,3.91,10.15,,0.19,32.35,0.64,,,0.42,,,,,,12.63,41,74,1002,,,1364,0,20.7,83,153
pak-205,11.717,77.8,37.51,0.53,14,6.3,,0.13,1.47,15.58,4.29,3.16,0.17,13.93,,,,,,9600,19.4,8,,,,98,6730,111,934
b11/1,13.25,76.67,37.61,0.14,3.5,8.28,,0.11,34.07,0.98,,0.04,,,,,,,14.41,1,134,2206,,,2180,1.42,15.35,96,0.64
li-7,13.6954,75.6381,37.64,0.2,10.57,10.99,,0.16,33.58,3.94,0.32,0.02,0.02,,,,,,1.45,6.3,80,3036,0.04,,958,0.7,31.2,182,10.2
8,17,80,37.72,2.7,7.72,5.01,7.35,0.26,13.04,12.9,0.34,0.09,1.02,,,,,,11.23,210,56,838,,41,685,,416,67,
g586,22,74.08,37.91,,0.68,3.54,,0.13,0.18,38.66,0.11,0.03,0.44,11.2,,,,,0.09,2666,0,0,,,0,0,244,40,
e1,19.025,81.885,37.92,1.98,3.51,10.39,,0.22,31.69,0.72,0.01,,0.51,,,,,,12.7,51,72,992,,,1274,0,22,24,154
mjw,24.616,80.036,37.94,4.79,2.9,8.94,,0.14,29.85,2.58,0.02,0.77,1.82,,,,,,10.325,1884,,1456,3.39,,1455.9,39.4,1043.7,52.8,754.7
b3/1,13.25,76.67,38.04,0.35,8.99,8.2,,0.1,24.92,3.94,0.55,0.12,,,,,,,12.69,30.17,81,3654,,,948,1.82,20,177,6.58
mk-5a,16.7675,77.4856,38.04,3.23,2.67,9.98,,0.12,30.71,12.16,0.06,0.11,0.61,,,0.62,,,,151.52,93.82,716.8,0.24,,370.13,8.68,356.32,154.6,287.1
lm-4/6,14.932,77.357,38.05,1.32,4.14,3.25,4.9,0.16,28.41,8.8,0.31,1.07,0.54,2.26,,,,,,,,,,,,,,,
7,22,74.08,38.07,0.8,13.79,4.93,2.24,0.05,4.97,19.63,2.07,3.43,0.17,9.71,,,,,,,,,,,,,,,
nh-4,13.125,76.415,38.2,0.22,4.91,10.95,,0.05,37.3,4.01,0.01,0.01,0.01,,,,,,4.98,22,,3374,,,1564,0.59,,123,9
grd04,24.4,73.5,38.2,1.78,15.2,,11.57,0.17,13.9,17.21,1.33,,0.23,,,,,,3,8,35,169,,,163,0,856,180,221
g4,24.4,73.5,38.3,1.78,15.2,,11.57,0.17,13.9,17.21,1.33,,0.23,,,,,,3,,35,169,,,163,,856,180,221
