Sample,Latitude,Longitude,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2,SO3,S,F ,Cl,LOI,Ba,Co,Cr,Cs,Li,Ni,Rb,Sr,V,Zr
dmk4u,20.25,80.5,57.54,0.88,13.12,,9.73,0.13,3.8,6.28,3.1,1.94,0.12,,,,,,1.78,578,17,63,,,87,76,184,,114
gn4,25.65,72.42,57.57,1.52,15.37,8.79,,0.07,1.98,3.63,6.14,3.67,0.67,,,,,,,474,14,2,1.68,,1,97,154,20,887
rm87,14.275,77.55,57.57,1.59,13.38,,11.03,0.2,1.51,5.26,3.91,2.08,0.38,,,,,,,474,,68,,,35,,277,,183
nvc/r-4/2,16.83852778,79.27713889,57.58,4.45,7.14,5.99,,0.06,9.52,6.65,0.02,0.12,1.72,,,,,,6.12,132,31,430,0.5,,270,3,840,108,1118
nvc/r-4/2,16.8385,79.2771,57.58,4.45,7.14,5.99,,0.06,9.52,6.65,0.02,0.12,1.72,,,,,,6.12,132,31,430,0.5,,270,3,840,108,1118
sa09-26a,11.22969444,78.47666667,57.59,0.13,18.14,9.01,,0.04,2.5,11.4,1.1,0.08,0.01,,,,,,0.49,15.78,14.09,127.31,0.04,,78.38,0.99,143.9,74.1,5.97
h-8a,16.2,76.7,57.6,0.16,11.95,2.44,,0.16,0.78,19.65,2.78,1.77,0.07,,,,,,2.65,332,10,117,1.5,,14,39,839,3.9,89
87n1,11.51666667,76.48388889,57.6,0.79,16.6,7.17,,0.11,4.1,7.1,4.8,1,0.36,,,,,,0.1,493,21,90,0.07,,44,2.6,820,155,150
dmk1u,20.25,80.5,57.63,0.91,12.89,,9.86,0.14,3.83,6.43,2.95,1.94,0.13,,,,,,1.25,582,24,66,,,83,73,176,,120
dmk4,20.25,80.5,57.69,0.89,13.07,,9.66,0.13,3.74,6.25,3.09,1.92,0.12,,,,,,1.78,574,38,61,,,77,71,181,,116
dmk3,20.25,80.5,57.7,0.87,12.94,,9.450712418,0.14,3.88,3.17,3.128862194,1.94,0.13,,,,,,1.71,660,41,78,1.14,,63,78,241,,90
g540,23.19,80.63,57.72,0.34,18.93,5.17,,0.09,0.33,2.25,6.37,6.19,0.15,,,,,,1.54,1913,8,117,,,26,153,365,4,380
sa09-26b,11.22969444,78.47666667,57.74,0.48,18.06,10.05,,0.09,3.14,7,2.33,0.95,0.16,,,,,,0.24,305.04,19.28,93.09,0.03,,56.48,6.3,632.63,122.59,19.68
cp-14,16.07,80.13,57.74,1.65,14.29,2.68,7.17,0.14,2.8,5.67,2.4,3.63,0.69,,,,,,0.2,2120,23.3,34.3,,,20.6,96.5,306,161,562
46,21.5,70.5,57.76,0.86,21.97,2.48,1,,0.61,2.62,8.89,3.49,0.32,,,,,,,,,,,,,,,,
s-763,21.38333333,82.61666667,57.8,0.61,13.9,7.52,,0.1,6.62,5.18,3.38,2.51,0.21,,,,,,3.01,867,32,326,1.33,,104,84,527,114,192
23,19.03,72.92,57.81,1.11,17.83,2.81,4.54,0.11,2.69,6.71,3.91,2.06,0.42,,,,,,,,,,,,,,,,
dmk2u,20.25,80.5,57.82,0.89,13.52,,8.534489659,0.13,3.21,5.203710639,2.755569433,2.12,0.13,,,,,,1.63,575.5,31,31.5,0.93,,51,80.5,208,,98
kk-11,16.07,80.13,57.82,2.1,13.65,2.84,7.89,0.14,2.47,5.83,3.1,2.27,0.81,,,,,,0.15,1095,24.5,9.9,,,8.2,71.1,290,194,539
dmk1,20.25,80.5,57.84,0.91,12.83,,9.69,0.14,3.85,6.4,2.93,1.93,0.12,,,,,,1.25,562,22,66,,,68,74,175,,117
a5,25.04333333,79.18333333,57.85,0.61,10.72,8.38,,0.22,4.7,10.56,1.81,3.68,0.08,,,,,,1.8,525.74,36,242,0.67,,3,29.57,113.38,162.58,97.11
60/1511,25.485,72.33,57.92,1.27,15.35,2.38,4.52,0.2,2.18,3.28,6.75,2.12,0.62,,,,,,,,,,,,,,,,
cp-7,16.07,80.13,57.98,1.5,15.31,2.41,6.23,0.12,2.39,5.26,2.49,4.56,0.6,,,,,,0.18,2744,21.2,29.3,,,19.1,123,363,138,556
5882,8.269083333,77.33294444,58,1.1,16.31,7.06,,0.11,0.84,5.75,4.44,4.99,0.13,,,,,,,1567,,110,,,2,83,2454,158,561
ybl275a,14,76.3,58.02,0.73,16.67,8.49,,0.01,3.92,8.2,3.56,0.42,0.12,,,,,,1.62,103,33,141,,,61,12,176,86,170
d-1,21.8,73.7,58.04,2.08,16.01,,7.78,,2.51,6.02,3.28,3.23,0.71,,,,,,,1005,,,,,11,96.8,985.5,159,278
r-37,21.8,73.7,58.07,1.2,18.75,3,4.59,0.11,0.82,3.43,3.12,7.42,0.25,,,,,,,3065,,0,,,0,273,635,138,575
6,21.71,73.29,58.07,1.2,18.75,3,4.59,0.11,0.82,3.43,3.12,7.42,0.25,,,,,,,,,,,,,,,,
a3,25.04333333,79.18333333,58.08,0.69,9.78,8.37,,0.22,6.51,10.32,3.16,1.3,0.08,,,,,,1.4,205.4,36,246,0.34,,3,11.89,106.97,157.2,102.45
k95,14.2,79.68,58.1,0.91,10.59,11.69,5.76,0.04,5.52,0.74,2.64,1.5,0.13,,,,,,1.46,80,49,7.1,,,16,30,15,250,60
k95,15.25,79.58333333,58.1,0.91,10.59,11.69,5.76,0.04,5.52,0.74,2.64,1.5,0.13,,,,,,1.46,80,49,7.1,,,16,30,15,250,60
119-g,21.89388889,80.79861111,58.1,0.95,15.48,5.52,,0.09,5.84,5.43,3,3.15,0.48,,,,,,1.181,,,,,,,,,,
tvr-8,14,78.45,58.12,1.08,12.63,9,,0.11,7.3,8.15,2.27,1.25,0.14,,,,,,,238,,330,1.62,,210,73,377,119,108
tvr-8,14.06666667,78.45,58.12,1.08,12.63,9,,0.11,7.3,8.15,2.27,1.25,0.14,,,,,,,238,,330,1.62,,210,73,377,119,108
y-102,13.53,75.8,58.2,1.81,11.1,15.3,,0.18,5.5,,2.2,0.82,0.18,,,,,,2.28,238,38,44,,,34,21.5,95.5,63,175
dmk2,20.25,80.5,58.24,0.93,13.25,,9.44,0.13,3.27,6.1,2.88,2.03,0.14,,,,,,1.63,595,18,29,,,48,81,192,,123
tn-05/85,10.05194444,76.69111111,58.27,1.03,16.4,6.24,,0.08,3.27,4.81,3.86,3.09,0.48,,,,,,,1100,9,36,0.33,,7,83,390,28,54
15,21.52,70.54,58.3,0.72,20.23,4.02,1.96,0.08,0.18,2.39,5.83,5.38,0.09,,,,,,,,,,,,,135.3,263.6,,
h-28,16.2,76.7,58.38,0.82,12.17,9.12,,0.14,5.19,9.47,3.03,0.15,0.13,,,,,,2.3,41,43,97,0.06,,74,1.03,104,288,93
ind 57b,12.95,75.08472222,58.45,0.57,16.7,6.83,,0.12,3.71,6.68,4.87,1.03,0.15,,,,,,0.38,73.86,,70.3,0.99,,69.6,29.26,314.25,,149.33
dd13,11.90541667,76.00969444,58.47,0.87,17.02,5.76,,0.08,4.32,5.73,4.34,1.8,0.4,,,,,,1.38,847,14,219,,,9,48,928,118,195
6667506,15.02,77.38,58.5,0.74,15.1,,3.26,0.09,4.61,4.45,4.16,2.43,0.32,1.8,0.04,,,,3.95,499.0082527,19,75,,,101,1,,96,449
6667506,15,77.5,58.5,0.74,15.1,,3.26,0.09,4.61,4.45,4.16,2.43,0.32,1.8,0.04,,,,3.95,862,19,75,,,101,72.5,449,96,83
tn-06/90,8.804444444,77.7225,58.51,0.67,17.93,5.13,,0.08,2.26,5.98,4.06,2.91,0.68,,,,,,,1385,13,45,0.04,,9,93,528,45,84
bas477,19.18,72.88,58.53,0.96,14.08,10.08,,,2.65,3.33,4.53,5.73,0.12,,,,,,,1103,,34,,,,150,148,18,935
pnk39,14.9013,77.3792,58.55,0.66,13.97,6.61,,0.11,1.65,13.87,0.87,1.93,0.2,,,,,,1.65,158,9,36,1.48,,4,52,310,11,88
t1,15,77.5,58.6,4.717,5.475,7.754,,0.0887,5.918,9.713,0.0355,1.026,1.294,,,0.0661002,,,,415.9,27.633,61.76,0.452,30.573,51.38,17.347,1174,113.559,815.2
sig 139,13.14,76.04,58.62,1.37,14.46,13.49,,0.09,5.18,0.04,0.28,5.02,0.18,,,,,,1.8,227,47.5,1.7,2.75,,0.7,321,20,58,299
bg50,25,73.5,58.7,0.73,11.5,3.8,,0.35,8.8,10.8,0.5,3.36,0.14,,,,,,0.7,1102,,65,,,25,173,106,56,217
tn-06/91,8.810277778,77.75222222,58.72,1.24,18.39,6.19,,0.15,1.68,4.72,3.95,2.76,0.75,,,,,,,1251,10,25,0.13,,9,57,232,41,15
g550,23.19,80.63,58.79,0.14,19.09,4.12,,0.05,0.35,2.12,5.3,7.22,0.12,0.13,,,,,1.6,632,15,139,,,38,195,440,4,333
d10,20.75255,82.64873333,58.8,1.05,15.6,7.37,,0.06,3.72,0.91,0.84,8.19,0.32,,,,,,2.8,1029,9,13.7,0.4,,2,213,41,,307
10,20.7526,82.6487,58.8,1.05,15.6,7.37,,0.06,3.72,0.91,0.84,8.19,0.32,,,,,,2.8,1029,9,13.7,0.4,,2,213,41,,307
ap1109,23.19,80.63,58.83,0.12,19.39,3.09,,0.09,0.68,1.99,5.2,7.26,0.1,,,,,,1.95,4420,10,1.1,,,5.59,178,408,,
268,12.77,76.23,58.9,2.58,15.8,11.57,,0.156,2.66,5.57,2.21,0.29,0.3,,,,,,,33,41,13.7,,,64.2,7.7,120,273,91.5
ybl190,14.27,75.35,58.93,0.79,14.84,8.49,,0.1,4.64,5.61,3.66,1.88,0.19,,,,,,1.7,395,38,307,,,157,52,258,164,130
aa6/51,24.78458333,72.78663889,58.94,1.01,13.71,12.04,,0.19,0.8,2.59,3.93,4.1,0.26,,,,,,2.99,747.72,3.36,1016.02,,,4.36,203.76,108.75,1.79,2178.92
a-737,21.38333333,82.61666667,58.94,1.74,19.44,8.84,,0.07,1.9,0.64,1.88,1.21,0.1,,,,,,4.42,302,42,16,0.69,,6,35,85,128,52
187,18.65,72.9,59.01,1.55,10.53,9.74,,0.14,6.17,9.48,2.26,0.59,0.24,,,,,,,193,31,572,,,149,12,337,206,132
5983,8.269083333,77.33294444,59.02,0.49,18.39,4.54,,0.05,0.62,4.14,4.81,5.59,0.49,,,,,,,2329,3,116,,,6,113,3880,59,541
th1,24.93,73.82,59.1,0.96,9.1,12.6,,0.23,8.1,8,1.2,0.11,0.07,,,,,,1.6,3,,427,,,138,3,16,179,118
tn-06/63,8.885,77.3375,59.11,1.05,19.14,6.77,,0.14,0.95,5.21,4.01,2.01,0.58,,,,,,,1845,18,37,0.12,,24,32,270,23,16
si10,10.23333333,77.47555556,59.17666667,0.686666667,15.86333333,7.76,,0.11,3.853333333,6.206666667,4.526666667,1.776666667,0.166666667,,,,,,,680.3333333,17.33333333,40,,,40,22.66666667,744,131,137.3333333
th.5,24.93,73.82,59.2,0.95,11.1,10.4,,0.19,7.2,6.77,3.44,1.2,0.15,,,,,,3.07,216,,705,,,147,35,83,185,131
th.5,24.5,73.7,59.2,0.95,11.1,10.4,,0.19,7.2,6.77,3.44,1.2,0.15,,,,,,3.07,216,,705,,,147,35,83,185,131
r144,12.51666667,78.58333333,59.24,0.48,18.11,2.15,2.22,0.14,1.54,3.58,4.45,6.01,0.5,,,,,,0.6,1804.82,11.9,4.95,0.15,,6.39,123.2,1122.75,96.25,52.55
se-2,12.41,78.66,59.25,0.63,17.85,2.27,1.8,0.13,1.09,3.38,5.53,6.17,0.18,,,,,,0.62,1733,,10,,,5,207,976,83,272
kg-11,10.09,77.25,59.28,0.75,13.56,7.06,,0.1,5.95,5.27,3.51,2.92,0.4,,,,,,,1015.04,22.96,72.37,0.05,,40.47,60.5,441.66,109.09,40.65
tvr-5,14,78.45,59.36,0.9,11.9,7.48,,0.13,5.9,12.08,1.86,0.29,0.14,,,,,,,80,,284,0.52,,186,15,330,108,91
tvr-5,14.06666667,78.45,59.36,0.9,11.9,7.48,,0.13,5.9,12.08,1.86,0.29,0.14,,,,,,,80,,284,0.52,,186,15,330,108,91
esd2,21.5,72,59.36,1.46,13.71,2.65,7.58,0.13,3.61,6.38,2.77,2.09,0.26,,,,,,1.73,477,26.6,176,0.383,,31.2,64.7,176,250,222
ku3,20.73066667,82.64641667,59.4,1.5,16.7,6.25,,0.03,3.52,0.51,0.5,8.3,0.3,,,,,,3.23,1026,9,147,10.2,,16,160,59,44,276
ku3,20.7307,82.6464,59.4,1.5,16.7,6.25,,0.03,3.52,0.51,0.5,8.3,0.3,,,,,,3.23,1026,9,147,10.2,,16,160,59,44,276
dd36,11.86175,76.17863889,59.43,0.93,15.51,8.12,,0.11,2.65,3.22,4.3,4.13,0.38,,,,,,0.75,752,6,208,,,0,66,233,37,1120
dongargarh,20.25,80.5,59.432,0.444666667,8.827333333,,12.00133333,0.277333333,4.362666667,8.106666667,3.336153846,0.453076923,,,,,,,,,,,,,,,,,
tn-05/82,10.01444444,77.03444444,59.46,0.88,18.15,4.63,,0.05,2.64,4.15,4.55,2.73,0.52,,,,,,,627,9,21,0.7,,6,113,371,29,18
s/47,25,72,59.47,1.1,14.5,11.06,0.36,0.19,0.43,1.57,4.77,4.91,0.05,,,,,,,142,,,,,90,,43,10,1563
rp-9,14.84222222,75.36972222,59.48,0.67,17.76,10.17,,0.11,1.98,1.78,2.17,4.14,0.12,,,,,,1.65,,4.95,31.95,,,3.57,139,207,6.63,145
rp-9,14.8423,75.2032,59.48,0.67,17.76,10.17,,0.11,1.98,1.78,2.17,4.14,0.12,,,,,,1.65,,4.95,31.95,,,3.57,139,207,6.63,145
sig 122,13.14,76.04,59.53,1.33,18.84,8.46,,0.06,4.54,0.03,0.83,4.84,0.17,,,,,,1.79,143,20.5,1.3,1.03,,0.6,144,45,38,675
esd3,21.5,72,59.55,1.29,14.03,2.45,7,0.13,4.05,5.96,2.43,2.91,0.21,,,,,,1.47,534,26.9,248,0.515,,66.9,85,134,176,300
102/480,22.06,74.08,59.65,0.85,14.6,2.09,5.16,0.76,,3.08,4.1,6.86,0.18,,,,,,,,,,,,,,,,
vav3,14.02138889,78.49222222,59.68,0.784,13.79,8.52,,0.126,5.9,6.32,2.9,0.54,0.11,,,,,,1.13,148,,270,1.9,,310,36,338,136,85
i530,12.77,76.23,59.7,0.85,14,12.4,,0.16,5.5,2.2,2.3,0.09,0.096,,,,,,3.1,48,60,240,,,122,1,68,154,95
ye-8,12.58,78.64,59.72,0.49,17.25,4.27,1.64,0.12,1.56,4.13,5.87,4.31,0.25,,,,,,0.34,1788,,27,,,6,97,1516,101,215
kgr12,14.19805556,78.12166667,59.72,0.7,15.4,7.35,,0.1,3.37,6.39,5.11,1.72,0.33,,,,,,0,823,,37,1.2,,16,74,434,115,181
6667510,15.02,77.38,59.8,0.68,15.9,,3.71,0.08,4.57,2.93,4.57,2.64,0.281,0.84,0.14,,,,3.11,454.3756843,22,55,,,149,2,,81,392
6667510,15,77.5,59.8,0.68,15.9,,3.71,0.08,4.57,2.93,4.57,2.64,0.281,0.84,0.14,,,,3.11,808,22,55,,,149,79.1,392,81,84
tn-05/106,9.093333333,77.47277778,59.96,0.6,18.98,6.39,,0.18,0.12,2.97,4.19,4.85,0.17,,,,,,,2102,1,11,0.03,,5,41,128,3,44
sb^f16,25,72,60.01,1.21,13.37,9.61,1.17,0.09,0.28,1.92,5.58,4.33,,,,,,,,66,,,,,79,,16,14,4056
d 1,25.485,72.33,60.08,1.24,22.47,3.43,,,1.81,1.96,2.83,1.08,,,,,,,,,,,,,,,,,
8,25.485,72.33,60.15,0.55,13.75,3.56,5.4,0.4,4.02,5.28,4.06,1.91,0.2,,,,,,,,,,,,,,,,
st-50,22,74.5,60.25,0.97,13.09,,9.31,0.13,4.73,9.36,1.78,0.27,0.11,,,,,,,121,,87,,,59,8,175,257,102
51,16.33,76.75,60.27,0.41,18.36,4.28,,0.07,1.68,3.26,5.78,3.66,0.19,,,,,,1.14,,,,,,,,,,
sa09-15,11.22969444,78.47666667,60.27,0.69,17.59,8.96,,0.11,4.2,5.5,1.68,0.86,0.14,,,,,,0.29,292.66,25.43,172.24,0.04,,64.89,16.91,525.81,177.85,14.26
ahci63,18.11,77.32,60.30419287,0.567662257,16.49465336,5.441933083,,0.198017639,3.028318979,3.937603582,4.490443212,2.676386251,0.172494387,,,,,,1.96,899.1087892,11.49919176,46.52187158,,,31.86981005,,423.4010601,156.3858947,106.9691744
ye-4,12.58,78.64,60.31,0.51,17.4,3.4,1.41,0.12,1.09,3.03,4.97,6.87,0.21,,,,,,0.31,1767,,8,,,0,169,1370,84,298
ye-7,12.58,78.64,60.34,0.45,17.11,3.09,1.49,0.13,1.33,3.38,5.32,6.08,0.24,,,,,,0.35,1753,,13,,,3,130,1364,84,257
19,21.52,70.54,60.34,0.76,19.77,3.25,1.81,0.09,0.36,1.54,5.24,6.83,0.12,,,,,,,,,,,,,208.6,206.6,,
rm75,14.91,77.375,60.39,0.48,8.08,7.36,,0.12,4.16,13.4,0.57,0.11,0.05,,,,,,,,,,,,,,,130,
r86/625,22.06,74.08,60.4,0.89,12.31,10.12,0.98,0.25,0.87,3.82,4.31,4.01,0.92,,,,,,,,,,,,,,,,
h-15,16.2,76.7,60.44,1.16,11.4,11.68,,0.17,6.33,5.14,2.23,0.13,0.17,,,,,,1.98,54,45,204,0.12,,72,2.74,159,306,102
sgt-373,10.56388889,77.25416667,60.56,0.65,15.05,5.96,,0.09,4.56,5.35,3.83,3.05,0.32,,,,,,,1324,,,,,,53,631,,242
y203b,13.53,75.8,60.6,1.99,14.5,,13.6,0.15,2,0.79,3.6,1.99,0.22,,,,,,2.4,456,,37,,,9,55,38,,210
sb^f17,25,72,60.64,0.93,13.05,9.07,1.8,0.17,0.29,1.38,4.48,6.22,,,,,,,,88,,,,,76,,18,14,3451
pnk33 f,14.9013,77.3792,60.66,0.59,14.64,6.79,,0.13,2.4,8.53,1.79,3.28,0.16,,,,,,1.93,242,11,19,2.45,,3,84,217,8,118
tn-05/95,9.951944444,77.22,60.69,1.03,14.48,7.87,,0.1,2.34,5.3,3.39,0.75,0.25,,,,,,,254,10,23,0.02,,7,6,104,52,98
g14,14.67061111,79.76572222,60.7,1.32,15.67,9.38,,0.12,1.92,1.93,3.33,5.23,0.3,,,,,,0.77,1179,109.16,14.9,,,11.63,261,75.96,70.27,199
ye-5,12.58,78.64,60.71,0.48,17.57,3.28,1.33,0.11,1,2.99,5.17,6.54,0.2,,,,,,0.41,1563,,6,,,0,162,1307,82,279
dd31,11.84447222,76.18197222,60.71,1.15,14.76,8.02,,0.08,3.14,3.02,3.62,3.3,0.57,,,,,,0.39,508,11,252,,,0,75,236,96,465
kgr317,14.31666667,78.07555556,60.72,0.605,15.26,6.07,,0.091,3.33,5.22,4.14,2,0.24,,,,,,1.26,925,,90,1.1,,30,57,676,119,173
ye-1,12.58,78.64,60.73,0.5,17.67,3.27,1.44,0.11,1.03,2.98,5.11,6.62,0.2,,,,,,0.29,1602,,7,,,0,167,1342,86,293
4,13.085,76.415,60.74,0.91,19.76,4.49,,0.02,5.43,0.08,0.77,4.47,0,,,,,,1.65,,9,389,,,121,91,,,
ye-12,12.58,78.64,60.76,0.47,16.62,3.28,1.62,0.12,1.37,3.95,4.8,5.18,0.25,,,,,,0.46,1698,,7,,,2,116,1333,85,178
rp-21,14.84222222,75.36972222,60.76,0.53,15.56,10.17,,0.12,2.62,3.77,3.32,1.95,0.13,,,,,,2.53,,4.8,32.91,,,3.71,60,297,5.62,123
rp-21,14.8423,75.2032,60.76,0.53,15.56,10.17,,0.12,2.62,3.77,3.32,1.95,0.13,,,,,,2.53,,4.8,32.91,,,3.71,60,297,5.62,123
ye-6,12.58,78.64,60.79,0.5,16.43,3.2,1.83,0.11,1.38,3.88,4.46,5.47,0.26,,,,,,0.38,1797,,9,,,3,173,1384,83,200
dg50,11.85961111,76.16983333,60.84,0.94,14.27,7.6,,0.08,2.78,2.55,3.82,4,0.34,,,,,,1.02,814,7,112,,,0,82,212,54,933
vav220,14.20277778,78.43361111,60.87,0.595,15.09,9.26,,0.234,3.61,4.43,3.52,1.2,0.16,,,,,,1.7,424,,200,3.6,,80,35,331,146,105
pnk64,14.9013,77.3792,60.88,0.59,12.4,7.76,,0.12,1.49,9.97,1.53,3.6,0.19,,,,,,1.25,172,19,28,2.08,,5,103,190,9,86
bsf13m,25,72,60.9,1,12.8,10.12,2.7,0.23,0.28,1.32,5.45,3.78,,,,,,,,91,,,,,94,,33,10,2964
rm86,14.275,77.55,60.93,1.09,14.1,,9.2,0.09,1.22,7.84,5.16,0.77,0.18,,,,,,,296,,76,,,29,,278,,111
ss42,12.51666667,78.58333333,60.94,0.55,16.84,2.1,2.16,0.1,1.02,3.89,4.14,6.42,0.48,,,,,,0.6,1565.69,9.64,9.31,0.36,,5.37,151.86,944.69,69.79,18.44
12,25.485,72.33,60.95,0.5,13.96,2.8,3.6,0.11,3.24,6.22,4.25,1.82,0.06,,,,,,,716.5210949,,,,50,,15,2536.783652,,222.0952616
pnk42,14.9013,77.3792,60.96,0.71,14.02,6.62,,0.1,2.16,9.64,1.91,2.34,0.18,,,,,,2.26,213,11,27,1.3,,3,62,223,8,69
15,25.485,72.33,60.97,0.38,10.23,3.46,4.14,0.19,1.64,0.77,5.55,3.66,0.03,,,,,,,716.5210949,,,,15,,90,42.27972754,,518.222277
kgr13,14.22111111,78.09638889,60.97,0.56,15.91,6.33,,0.09,2.81,5.17,4.68,2.23,0.3,,,,,,0,992,,32,0.77,,13,44,302,93,186
6667505,15.02,77.38,61,0.57,14.2,,3.19,0.08,4.57,3.59,3.89,2.6,0.25,1.5,0.02,,,,3.98,408.0931159,19,70,,,109,0,,80,327
6667505,15,77.5,61,0.57,14.2,,3.19,0.08,4.57,3.59,3.89,2.6,0.25,1.5,0.02,,,,3.98,761,19,70,,,109,78.4,327,80,76
n27-7,11.40916667,76.73944444,61,0.72,15.3,10.9,,0.13,3.6,3.6,2.6,1.5,0.37,,,,,,0.37,335,30,174,0,,80,33.11,148,167,25
rm146,14.91,77.375,61.04,0.39,6.69,6.18,,0.11,2.38,16.8,0.68,0.04,0.04,,,,,,,,,,,,,,,,
pam1,14.91,77.375,61.12,0.06,2.68,8.45,,0.19,1.73,17.89,0.16,0.32,0.03,,,,,,,51.5,2,12,0.2,,,3,45,57,3.9
pnk68,14.9013,77.3792,61.14,0.67,13.7,7.38,,0.08,1.61,8.85,2.14,3.05,0.18,,,,,,1.44,212,16,27,2.91,,4,88,215,10,120
pnk66,14.9013,77.3792,61.14,0.67,13.87,7.41,,0.09,1.29,10.03,1.18,2.9,0.17,,,,,,1.76,193,13,33,2.05,,4,88,222,9,114
kg-8,10.09,77.25,61.17,0.56,16.53,4.05,,0.05,3.28,4.14,4.52,4.44,0.22,,,,,,,4281.78,9.81,50.85,0.22,,17.57,129.04,697.87,60.26,95.3
esd5,21.5,72,61.17,1.26,13.68,2.32,6.62,0.13,3.53,5.44,2.63,3.12,0.11,,,,,,1.4,562,23.9,344,0.759,,102,114,129,146,326
af3m,25,72,61.2,1.18,13.43,8.88,1.44,0.12,0.67,1.47,4.8,5.08,0,,,,,,,397,,,,,95,,41,11,2503
kg-9,10.09,77.25,61.23,0.41,16.91,3.94,,0.05,3.14,3.81,4.23,4.34,0.16,,,,,,,2858.3,8.09,27.87,0.49,,12.44,134.36,682.05,57.76,92.52
z1,25.04333333,79.18333333,61.34,0.48,7.07,4.9,,0.25,3.34,13.55,1.33,0.76,0.08,,,,,,4.2,89.78,90,1909,3.2,,258,45.83,77.05,140.75,58.97
23,21.52,70.54,61.39,0.43,20.48,2.09,0.87,0.09,0.28,1.88,5.74,6.14,0.06,,,,,,,,,,,,,183,173.6,,
ych-35,14,76.3,61.39,1.18,15.91,4.16,,0.17,5.35,2.3,4.26,1.38,0.04,,,,,,4.74,216,64,339,,,198,90,63,397,55
ku4,20.73066667,82.64641667,61.4,1.54,16.1,6.24,,0.02,3.34,0.47,0.55,9.16,0.3,,,,,,1.73,1024,14,156,6.6,,17,181,61,58,291
ku4,20.7307,82.6464,61.4,1.54,16.1,6.24,,0.02,3.34,0.47,0.55,9.16,0.3,,,,,,1.73,1024,14,156,6.6,,17,181,61,58,291
ch zr 5,13.25,77.20833333,61.43,1.375,14.58,11.07,,0.159,1.75,5.25,3.92,0.69,0.41,,,,,,,,,,,,,3,249,,385
5474,8.269083333,77.33294444,61.44,0.45,16.48,4.41,,0.1,0.65,3.1,4.18,6.33,0.19,,,,,,,1536,,67,,,4,116,1473,31,1000
pnk63,14.9013,77.3792,61.44,0.6,14.37,6.35,,0.08,1.15,8.13,1.18,5.35,0.19,,,,,,0.38,218,11,28,3.44,,4,152,196,9,111
s/44,25,72,61.49,1,12.83,10.28,1.8,0.14,0.3,1.53,4.91,4.05,0.05,,,,,,,112,,,,,100,,25,5,1991
pnk41,14.9013,77.3792,61.5,0.56,13.54,5.76,,0.1,1.32,13.38,0.48,1.84,0.17,,,,,,2.29,122,16,24,0.6,,4,42,298,8,113
k1,14.83722222,79.63402778,61.52,0.96,17.65,8.14,,0.16,2.96,2.4,2.67,2.88,0.17,,,,,,0.5,516,76.45,54.58,,,63.65,128,140.82,90.86,45.4
rp-20,14.84222222,75.36972222,61.55,0.53,14.53,14.14,,0.15,2.47,1.74,3.64,0.81,0.12,,,,,,1.67,,3.81,34.03,,,3.59,35,216,5.02,140
rp-20,14.8423,75.2032,61.55,0.53,14.53,14.14,,0.15,2.47,1.74,3.64,0.81,0.12,,,,,,1.67,,3.81,34.03,,,3.59,35,216,5.02,140
kut-3db,12.45255556,75.17969444,61.55,1.02,8.65,8.91,,0.15,5.83,8.2,4.49,1.1,0.1,,,,,,0.35,74.5,54.88,19.32,0.02,,5.97,2.65,96.57,67.04,3.37
2,13.085,76.415,61.58,0.64,14.51,0.72,5.08,0.11,5.4,2.47,7.45,0.05,0.04,,,,,,0.28,,32,295,,,123,1,,,
tn-06/83,8.651388889,77.64833333,61.71,0.4,18.9,3.64,,0.06,1.55,5.43,4.28,1.49,0.25,,,,,,,1049,7,24,0.01,,6,17,489,26,20
5475,8.269083333,77.33294444,61.81,0.19,18.38,3.04,,0.08,0.49,3.09,4.86,6.19,0.16,,,,,,,1174,3,131,,,4,111,1489,12,315
tn-06/62,8.954722222,77.35,61.85,0.84,17.94,4.48,,0.06,1.29,3.91,4.1,4.04,0.45,,,,,,,1789,12,31,0.1,,15,149,427,15,51
dd9,11.93830556,76.05680556,61.86,0.75,16.88,4.21,,0.05,3.25,3.2,4.39,3.2,0.29,,,,,,1.47,1214,7,160,,,3,64,583,79,464
pnk44,14.9013,77.3792,61.88,0.56,13.85,5.18,,0.09,1.32,13.47,0.33,2.05,0.18,,,,,,2.03,160,12,31,0.73,,3,53,310,9,82
6667518,15,77.5,61.9,0.66,19,,1.96,0.06,2.13,1.1,9.08,0.77,0.297,,,,,,1.36,203,9,5,,,21,23.1,160,50,97
6667518,15.02,77.38,61.9,0.66,19,,1.96,0.06,2.14,1.1,9.07,0.775,0.297,0,0,,,,1.37,118.4064211,9,7.5,,,20.5,0.75,,50,161
6667518,15,77.5,61.9,0.66,19,,1.96,0.06,2.15,1.1,9.06,0.78,0.297,,,,,,1.38,197,9,10,,,20,23.3,162,50,97
sig 125,13.14,76.04,61.94,2.51,24.06,0.42,,0.04,2.4,0.02,0.8,6,0.05,,,,,,1.94,175,7.6,1.3,0.32,,0.5,158,19,122,499
pnk40,14.9013,77.3792,61.96,0.56,13.95,4.99,,0.09,1.22,13.87,0.95,1.01,0.18,,,,,,2.02,149,43,33,1.77,,8,39,297,9,384
